symbol,sector,industry
PRGS,Technology,Software Application
NUS,Consumer Defensive,Household & Personal Products
SPSC,Technology,Software Infrastructure
BOKF,Financial Services,Banks Regional
MD,Healthcare,Medical Care Facilities
JBT,Industrials,Specialty Industrial Machinery
IRTC,Healthcare,Medical Instruments & Supplies
ZGNX,Healthcare,Biotechnology
TPIC,Industrials,Specialty Industrial Machinery
MSGN,Communication Services,Entertainment
ARW,Technology,Electronics & Computer Distribution
AMG,Financial Services,Asset Management
MNRO,Consumer Cyclical,Auto Parts
ITCI,Healthcare,Biotechnology
AIT,Industrials,Industrial Distribution
TREE,Financial Services,Mortgage Finance
SNX,Technology,Information Technology Services
PCTY,Technology,Software Application
PTR,Energy,Oil & Gas Integrated
NTLA,Healthcare,Biotechnology
BMI,Industrials,Electrical Equipment & Parts
HHC,Real Estate,Real Estate Diversified
SHAK,Consumer Cyclical,Restaurants
WTTR,Energy,Oil & Gas Equipment & Services
LGND,Healthcare,Biotechnology
CENTA,Consumer Defensive,Packaged Foods
SNPS,Technology,Software Infrastructure
APPS,Technology,Software Application
BIO,Healthcare,Medical Devices
NATI,Technology,Software Application
PLXS,Technology,Electronic Components
ASGN,Industrials,Staffing & Employment Services
CVNA,Consumer Cyclical,Internet Retail
MANT,Technology,Software Application
NGVT,Basic Materials,Specialty Chemicals
PATK,Industrials,Building Products & Equipment
VMI,Industrials,Metal Fabrication
CHMF,Basic Materials,Metals & Mining
BPMC,Healthcare,Biotechnology
FCN,Industrials,Consulting Services
WEX,Technology,Software Infrastructure
NXST,Communication Services,Broadcasting
MTRN,Basic Materials,Other Industrial Metals & Mining
TECH,Healthcare,Biotechnology
ATRA,Healthcare,Biotechnology
NEWR,Technology,Software Infrastructure
VCRA,Technology,Communication Equipment
PRI,Financial Services,Insurance Life
EXLS,Technology,Information Technology Services
QLYS,Technology,Software Infrastructure
ICUI,Healthcare,Medical Instruments & Supplies
PLZL,Basic Materials,Metals & Mining
WING,Consumer Cyclical,Restaurants
LSTR,Industrials,Integrated Freight & Logistics
ELS,Real Estate,REIT Residential
ASIX,Basic Materials,Chemicals
XLRN,Healthcare,Biotechnology
SAIA,Industrials,Trucking
RBC,Industrials,Specialty Industrial Machinery
ADUS,Healthcare,Medical Care Facilities
NWE,Utilities,Utilities Diversified
VAC,Consumer Cyclical,Resorts & Casinos
OMCL,Healthcare,Health Information Services
UFPI,Basic Materials,Lumber & Wood Production
AIR,Industrials,Aerospace & Defense
JOBS,Industrials,Staffing & Employment Services
KALU,Basic Materials,Aluminum
ITGR,Healthcare,Medical Devices
DRI,Consumer Cyclical,Restaurants
RGEN,Healthcare,Medical Instruments & Supplies
CVGW,Consumer Defensive,Packaged Foods
RGLD,Basic Materials,Gold
PLTR,Technology,Softwareâ€”Infrastructure
EBS,Healthcare,Drug Manufacturers General Specialty & Generic
QTWO,Technology,Software Application
SAGE,Healthcare,Biotechnology
ATR,Consumer Cyclical,Packaging & Containers
AFKS,Communication Services,Telecommunication Services
SYKE,Technology,Information Technology Services
ABG,Consumer Cyclical,Auto & Truck Dealerships
ATGE,Consumer Defensive,Education & Training Services
WHD,Energy,Oil & Gas Equipment & Services
LECO,Industrials,Tools & Accessories
VTRS,Healthcare,Drug Manufacturer
TREX,Industrials,Building Products & Equipment
IBP,Industrials,Building Products & Equipment
CENT,Consumer Defensive,Packaged Foods
RACE,Consumer Cyclical,Auto Manufacturers
ROL,Consumer Cyclical,Personal Services
STAA,Healthcare,Medical Instruments & Supplies
LFUS,Technology,Electronic Components
MPWR,Technology,Semiconductors
FELE,Industrials,Specialty Industrial Machinery
LANC,Consumer Defensive,Packaged Foods
CHDN,Consumer Cyclical,Gambling
TYL,Technology,Software Application
AAON,Industrials,Building Products & Equipment
MOV,Consumer Cyclical,Luxury Goods
KFY,Industrials,Staffing & Employment Services
ENTA,Healthcare,Biotechnology
MMI,Real Estate,Real Estate Services
CR,Industrials,Specialty Industrial Machinery
LNN,Industrials,Farm & Heavy Construction Machinery
INGN,Healthcare,Medical Devices
PRLB,Industrials,Metal Fabrication
PEN,Healthcare,Medical Devices
FATE,Healthcare,Biotechnology
AVAV,Industrials,Aerospace & Defense
PRSC,Healthcare,Medical Care Facilities
IPGP,Technology,Semiconductor Equipment & Materials
IIPR,Real Estate,REIT Industrial
NTGR,Technology,Communication Equipment
UNF,Industrials,Specialty Business Services
OSIS,Technology,Electronic Components
SSD,Industrials,Building Products & Equipment
TNC,Industrials,Specialty Industrial Machinery
AGIO,Healthcare,Biotechnology
TDY,Technology,Scientific & Technical Instruments
CACC,Financial Services,Credit Services
HURN,Industrials,Consulting Services
SRI,Consumer Cyclical,Auto Parts
MEI,Technology,Electronic Components
WSC,Industrials,Rental & Leasing Services
HSKA,Healthcare,Diagnostics & Research
USPH,Healthcare,Medical Care Facilities
CARA,Healthcare,Biotechnology
SBCF,Financial Services,Banks Regional
IDCC,Communication Services,Telecom Services
REX,Energy,Oil & Gas Refining & Marketing
ROLL,Industrials,Tools & Accessories
NEO,Healthcare,Diagnostics & Research
THG,Financial Services,Insurance Property & Casualty
MED,Consumer Cyclical,Personal Services
MCRI,Consumer Cyclical,Resorts & Casinos
BBSI,Industrials,Staffing & Employment Services
FARO,Technology,Scientific & Technical Instruments
CCMP,Technology,Semiconductor Equipment & Materials
NSP,Industrials,Staffing & Employment Services
CBU,Financial Services,Banks Regional
STRA,Consumer Defensive,Education & Training Services
RGNX,Healthcare,Biotechnology
APPF,Technology,Software Application
VICR,Technology,Electronic Components
MORN,Financial Services,Financial Data & Stock Exchanges
ATRC,Healthcare,Medical Instruments & Supplies
CW,Industrials,Specialty Industrial Machinery
Y,Financial Services,Insurance Property & Casualty
APEI,Consumer Defensive,Education & Training Services
SRDX,Healthcare,Diagnostics & Research
CARG,Communication Services,Internet Content & Information
NVEE,Industrials,Engineering & Construction
ATRO,Industrials,Aerospace & Defense
SHEN,Communication Services,Telecom Services
NEU,Basic Materials,Specialty Chemicals
FRPH,Real Estate,Real Estate Services
BCPC,Basic Materials,Specialty Chemicals
CLH,Industrials,Waste Management
USNA,Consumer Defensive,Household & Personal Products
MATX,Industrials,Marine Shipping
CSII,Healthcare,Medical Devices
ALGT,Industrials,Airlines
KNSL,Financial Services,Insurance Property & Casualty
NEOG,Healthcare,Diagnostics & Research
WTS,Industrials,Specialty Industrial Machinery
INDB,Financial Services,Banks Regional
CABO,Communication Services,Telecom Services
ERIE,Financial Services,Insurance Brokers
OFIX,Healthcare,Medical Devices
CCXI,Healthcare,Biotechnology
CNXN,Technology,Electronics & Computer Distribution
DLB,Communication Services,Entertainment
LUMN,Communication Services,Telecom Services
TCX,Technology,Software Infrastructure
ANDE,Consumer Defensive,Food Distribution
KRYS,Healthcare,Biotechnology
MKL,Financial Services,Insurance Property & Casualty
WRLD,Financial Services,Credit Services
FICO,Technology,Software Application
CEVA,Technology,Semiconductors
HCCI,Industrials,Waste Management
KIDS,Healthcare,Medical Devices
USM,Communication Services,Telecom Services
POWI,Technology,Semiconductors
NTRA,Healthcare,Diagnostics & Research
CORR,Real Estate,REIT Diversified
GCO,Consumer Cyclical,Apparel Retail
JBSS,Consumer Defensive,Packaged Foods
RGR,Industrials,Aerospace & Defense
VCYT,Healthcare,Biotechnology
CGEN,Healthcare,Biotechnology
NVR,Consumer Cyclical,Residential Construction
SHI,Energy,Oil & Gas Refining & Marketing
PLUS,Technology,Software Application
PRFT,Technology,Information Technology Services
CSWI,Industrials,Specialty Industrial Machinery
LRN,Consumer Defensive,Education & Training Services
RAVN,Industrials,Specialty Industrial Machinery
VRTV,Industrials,Business Equipment & Supplies
JJSF,Consumer Defensive,Packaged Foods
TTEK,Industrials,Engineering & Construction
CEA,Industrials,Airlines
DCPH,Healthcare,Biotechnology
APY,Energy,Oil & Gas Equipment & Services
UTL,Utilities,Utilities Diversified
FORR,Industrials,Consulting Services
AXSM,Healthcare,Biotechnology
GHC,Consumer Defensive,Education & Training Services
HNP,Utilities,Utilities Regulated
WDFC,Basic Materials,Specialty Chemicals
NP,Basic Materials,Paper & Paper Products
RYTM,Healthcare,Biotechnology
BTAI,Healthcare,Biotechnology
CRMT,Consumer Cyclical,Auto & Truck Dealerships
EHTH,Financial Services,Insurance Brokers
ANIK,Healthcare,Biotechnology
MHO,Consumer Cyclical,Residential Construction
CDLX,Communication Services,Internet Content & Information
HEAR,Technology,Consumer Electronics
MTSC,Technology,Scientific & Technical Instruments
NPK,Industrials,Aerospace & Defense
ZYNE,Healthcare,Drug Manufacturers General Specialty & Generic
COKE,Consumer Defensive,Beverages Non-Alcoholic
VPG,Technology,Scientific & Technical Instruments
CVCO,Consumer Cyclical,Residential Construction
ACH,Basic Materials,Metals & Mining
IOSP,Basic Materials,Specialty Chemicals
ACMR,Technology,Semiconductor Equipment & Materials
KWR,Basic Materials,Specialty Chemicals
JOUT,Consumer Cyclical,Leisure
VRTS,Financial Services,Asset Management
CRVL,Financial Services,Insurance Brokers
BH,Consumer Cyclical,Restaurants
CHA,Communication Services,Telecom Services
ATRI,Healthcare,Medical Instruments & Supplies
ARCT,Healthcare,Biotechnology
ZNH,Industrials,Airlines
NCBS,Financial Services,Banks Regional
NWLI,Financial Services,Insurance Life
MLAB,Technology,Scientific & Technical Instruments
DISCB,Communication Services,Entertainment
GSH,Industrials,Transportation & Logistics
MANU,Consumer Cyclical,Travel & Leisure
SXI,Industrials,Specialty Industrial Machinery
PLAN,Technology,Software Infrastructure
AVLR,Technology,Software Application
AVNS,Healthcare,Medical Devices
AVTR,Basic Materials,Specialty Chemicals
AX,Financial Services,Banks Regional
CPRI,Consumer Cyclical,Apparel Manufacturing
CTVA,Basic Materials,Agricultural Inputs
DELL,Technology,Computer Hardware
DOW,Basic Materials,Chemicals
DD,Basic Materials,Chemicals
DT,Technology,Software Application
ELAN,Healthcare,Drug Manufacturers General Specialty & Generic
ET,Energy,Oil & Gas Midstream
ETRN,Energy,Oil & Gas Midstream
EVRG,Utilities,Utilities Regulated Electric
FTCH,Consumer Cyclical,Internet Retail
FSLY,Technology,Software Application
GTX,Consumer Cyclical,Auto Parts
GL,Financial Services,Insurance Life
INSP,Healthcare,Medical Devices
JEF,Financial Services,Financial Conglomerates
KDP,Consumer Defensive,Beverages Non-Alcoholic
KTB,Consumer Cyclical,Apparel Manufacturing
LHX,Industrials,Aerospace & Defense
LEVI,Consumer Cyclical,Apparel Manufacturing
LIN,Basic Materials,Specialty Chemicals
LTHM,Basic Materials,Specialty Chemicals
RAMP,Technology,Information Technology Services
MGY,Energy,Oil & Gas E&P
MDLA,Technology,Software Application
PD,Technology,Software Application
PSN,Industrials,Specialty Industrial Machinery
PRSP,Technology,Information Technology Services
PINS,Communication Services,Internet Content & Information
REZI,Industrials,Security & Protection Services
RVLV,Consumer Cyclical,Internet Retail
WORK,Technology,Software Application
SMAR,Technology,Software Application
SWI,Technology,Software Infrastructure
SPOT,Communication Services,Internet Content & Information
TAK,Healthcare,Drug Manufacturers General Specialty & Generic
UBER,Technology,Software Application
UI,Technology,Communication Equipment
VNE,Consumer Cyclical,Auto Parts
WYND,Consumer Cyclical,Lodging
WH,Consumer Cyclical,Lodging
YETI,Consumer Cyclical,Leisure
ZUO,Technology,Software Infrastructure
ADPT,Healthcare,Biotechnology
ALLO,Healthcare,Biotechnology
ATEX,Communication Services,Telecom Services
APLT,Healthcare,Biotechnology
BYND,Consumer Defensive,Packaged Foods
BILI,Communication Services,Electronic Gaming & Multimedia
BBIO,Healthcare,Biotechnology
CHNG,Healthcare,Health Information Services
ALLK,Healthcare,Biotechnology
CRTX,Healthcare,Biotechnology
CVET,Healthcare,Health Information Services
CRWD,Technology,Software Infrastructure
DOCU,Technology,Software Application
BRK.B,Industrials,
RDS.A,Industrials,
DBX,Technology,Software Infrastructure
EVER,Communication Services,Internet Content & Information
FOCS,Financial Services,Capital Markets
GOSS,Healthcare,Biotechnology
GSKY,Technology,Software Infrastructure
GO,Consumer Defensive,Grocery Stores
GH,Healthcare,Diagnostics & Research
HHR,Industrials,Staffing & Employment Services
INMD,Healthcare,Medical Devices
KRTX,Healthcare,Biotechnology
KOD,Healthcare,Biotechnology
LEGH,Consumer Cyclical,Residential Construction
LVGO,Healthcare,Medical Devices
LYFT,Technology,Software Application
MRNA,Healthcare,Biotechnology
NTUS,Healthcare,Medical Devices
LASR,Technology,Semiconductors
RRBI,Financial Services,Banks Regional
MU,Technology,Semiconductors
SWAV,Healthcare,Medical Devices
SONO,Technology,Consumer Electronics
TCRR,Healthcare,Biotechnology
TENB,Technology,Software Infrastructure
TW,Financial Services,Capital Markets
TPTX,Healthcare,Biotechnology
UPWK,Industrials,Staffing & Employment Services
ZM,Communication Services,Telecom Services
ZYXI,Healthcare,Medical Devices
BILL,Technology,Software Application
BKR,Energy,Oil & Gas Equipment & Services
J,Industrials,Engineering & Construction
NTCO,Consumer Defensive,Household & Personal Products
ONTO,Technology,Semiconductors
PEAK,Real Estate,REIT Healthcare Facilities
NET,Technology,Software Infrastructure
PIPR,Financial Services,Capital Markets
SPCE,Industrials,Aerospace & Defense
TFC,Financial Services,Banks Regional
ARQT,Healthcare,Biotechnology
PGNY,Healthcare,Health Information Services
VIAC,Communication Services,Entertainment
NLOK,Technology,Software Infrastructure
TXG,Healthcare,Health Information Services
DDOG,Technology,Software Application
BDTX,Healthcare,Biotechnology
PTON,Consumer Cyclical,Leisure
PNTG,Healthcare,Medical Care Facilities
SDGR,Healthcare,Health Information Services
IGMS,Healthcare,Biotechnology
FRHC,Financial Services,Capital Markets
VIE,Healthcare,Biotechnology
VIR,Healthcare,Biotechnology
BF.B,Industrials,"Food, Beverage & Tobacco"
TT,Industrials,Specialty Industrial Machinery
BFYT,Healthcare,Health Care Plans
CARR,Industrials,Building Products & Equipment
RYN,Real Estate,REIT Specialty
RTX,Industrials,Aerospace & Defense
OTIS,Industrials,Specialty Industrial Machinery
MSGE,Communication Services,Entertainment
MSGS,Communication Services,Entertainment
NARI,Healthcare,Medical Devices
SWBI,Industrials,Aerospace & Defense
CHX,Energy,Oil & Gas Equipment & Services
ZI,Technology,Software Application
MTSS,Communication Services,Telecommunication Services
NSVZ,Communication Services,Telecommunication Services
CNTL,Communication Services,Telecommunication Services
RBCM,Communication Services,Media & Entertainment
TTLK,Communication Services,Telecommunication Services
RTKM,Communication Services,Telecommunication Services
DSKY,Consumer Cyclical,Retailing
MSST,Consumer Cyclical,Home Improvement Retail
MVID,Consumer Cyclical,Retailing
AQUA,Consumer Cyclical,"Food, Beverage & Tobacco"
AGRO,Consumer Defensive,"Food, Beverage & Tobacco"
FIVE,Consumer Defensive,Food & Staples Retailing
LNTA,Consumer Defensive,Food & Staples Retailing
MGNT,Consumer Defensive,Food & Staples Retailing
ABRD,Consumer Defensive,"Food, Beverage & Tobacco"
RUGR,Consumer Defensive,"Food, Beverage & Tobacco"
KROT,Consumer Defensive,"Food, Beverage & Tobacco"
BELU,Consumer Defensive,"Food, Beverage & Tobacco"
OBUV,Consumer Defensive,Consumer Durables & Apparel
APTK,Consumer Defensive,Food & Staples Retailing
GCHE,Consumer Defensive,"Food, Beverage & Tobacco"
NVTK,Energy,Oil & Gas E&P
SNGS,Energy,Oil & Gas E&P
GAZP,Energy,Oil & Gas E&P
KBTK,Energy,Oil & Gas E&P
LKOH,Energy,Oil & Gas E&P
RNFT,Energy,Oil & Gas E&P
BANE,Energy,Oil & Gas E&P
TRNFP,Energy,Oil & Gas E&P
CMCSA,Communication Services,Entertainment
ROSN,Energy,Oil & Gas E&P
SIBN,Energy,Oil & Gas E&P
TATN,Energy,Oil & Gas E&P
MOEX,Financial Services,Diversified Financials
TCSG,Financial Services,Banks
TWTR,Communication Services,Internet Content & Information
NFLX,Communication Services,Entertainment
UTX,Industrials,Aerospace & Defense
SBER,Financial Services,Banks
GKOS,Healthcare,Medical Instruments & Supplies
NCR,Technology,Information Technology Services
NEE,Utilities,Utilities Regulated Electric
ETFC,Financial Services,Capital Markets
TIF,Consumer Cyclical,Luxury Goods
SFIX,Consumer Cyclical,Specialty Retail
DLR,Real Estate,REIT Office
NEM,Basic Materials,Gold
AVP,Consumer Defensive,Consumer Packaged Goods
CXO,Energy,Oil & Gas E&P
AGN,Healthcare,Drug Manufacturers General
HST,Real Estate,REIT Hotel & Motel
MNK,Healthcare,Drug Manufacturers General Specialty & Generic
BTI,Consumer Defensive,Tobacco
MCD,Consumer Cyclical,Restaurants
SNY,Healthcare,Drug Manufacturers General
CMG,Consumer Cyclical,Restaurants
RPD,Technology,Software Application
COUP,Technology,Software Application
TSS,Technology,Software Application
IRBT,Technology,Consumer Electronics
BURL,Consumer Cyclical,Apparel Retail
BAND,Technology,Software Infrastructure
MINI,Industrials,Rental & Leasing Services
QNST,Communication Services,Advertising Agencies
LAD,Consumer Cyclical,Auto & Truck Dealerships
ATKR,Industrials,Specialty Industrial Machinery
TECD,Technology,Electronics & Computer Distribution
HIIQ,Healthcare,Health Care Plans
ANIP,Healthcare,Drug Manufacturers General Specialty & Generic
SAM,Consumer Defensive,Beverages Brewers
CHE,Healthcare,Medical Care Facilities
SP,Industrials,Specialty Business Services
CHWY,Consumer Cyclical,Internet Retail
ARVN,Healthcare,Biotechnology
CNST,Healthcare,Biotechnology
AVNT,,
PS,Technology,Software Application
SFIN,Financial Services,Diversified Financials
OVV,Energy,Oil & Gas E&P
BSPB,Financial Services,Banks
HWM,Industrials,Specialty Industrial Machinery
DKNG,Consumer Cyclical,Gambling
CBOM,Financial Services,Banks
VTBR,Financial Services,Banks
PRTK,Healthcare,Health Care Equipment & Services
ISKJ,Healthcare,"Pharmaceuticals, Biotechnology & Life Sciences"
LIFE,Healthcare,"Pharmaceuticals, Biotechnology & Life Sciences"
NKHP,Industrials,Transportation
RKKE,Industrials,Capital Goods
UNAC,Industrials,Capital Goods
GTRK,Industrials,Transportation
SVAV,Industrials,Automobiles & Components
KMAZ,Industrials,Capital Goods
AFLT,Industrials,Transportation
UWGN,Industrials,Capital Goods
TRCN,Industrials,Transportation
IRKT,Industrials,Capital Goods
KZOS,Industrials,Materials
FESH,Industrials,Transportation
MSTT,Industrials,Industrials
NKNC,Industrials,Materials
AKRN,Industrials,Materials
NMTP,Industrials,Transportation
PHOR,Industrials,Materials
ETLN,Real Estate,Real Estate
GRNT,Real Estate,Capital Goods
SMLT,Real Estate,Real Estate
PIKK,Real Estate,Consumer Durables & Apparel
LSRG,Real Estate,Real Estate
QIWI,Financial Services,Banks
YNDX,Communication Services,Internet Content & Information
HYDR,Utilities,Utilities
TORS,Utilities,Utilities
DASB,Utilities,Utilities
DVEC,Utilities,Utilities
LSNG,Utilities,Utilities
KLSB,Utilities,Utilities
PMSB,Utilities,Utilities
MRKY,Utilities,Utilities
MRKZ,Utilities,Utilities
IRGZ,Utilities,Utilities
TGKD,Utilities,Utilities
TGKB,Utilities,Utilities
MRKU,Utilities,Utilities
TGKN,Utilities,Utilities
MSRS,Utilities,Utilities
MRKS,Utilities,Utilities
VRSB,Utilities,Utilities
MRKC,Utilities,Utilities
MSNG,Utilities,Utilities
MRKP,Utilities,Utilities
MRKV,Utilities,Utilities
ENRU,Utilities,Utilities
TGKA,Utilities,Utilities
UPRO,Utilities,Utilities
OGKB,Utilities,Utilities
FEES,Utilities,Utilities
RSTI,Utilities,Utilities
IRAO,Utilities,Utilities
MAIL,Communication Services,Internet Content & Information
TRMK,Industrials,Energy
VNT,Technology,Scientific & Technical Instruments
ABNB,Communication Services,Internet Content & Information
PRG,Industrials,Rental & Leasing Services
AIRC,Real Estate,REIT
